osm_id,name,surface,tracktype,smoothness,width,length_km,premium_score,premium_tier,access,bicycle,highway,start_lat,start_lon,end_lat,end_lon,score_surface,score_tracktype,score_smoothness,score_traffic,score_width,score_access
118075478,,fine_gravel,grade2,good,,0.16,93,Premium,yes,yes,path,51.135819,17.07596,51.134423,17.076741,25,23,18,15,7,5
617842195,,fine_gravel,grade1,intermediate,,0.28,92,Premium,yes,yes,path,51.176171,17.035661,51.175227,17.03924,25,25,15,15,7,5
508291351,Grobla Swojczycko-Kowalska,compacted,grade1,intermediate,3.5,0.35,90,Premium,yes,yes,path,51.123855,17.1316,51.120771,17.132128,20,25,15,15,10,5
128676997,,compacted,grade2,good,2.0,0.46,89,Premium,yes,yes,path,51.14257,16.937997,51.146527,16.939511,20,23,18,15,8,5
490186017,,gravel,grade1,excellent,,1.59,89,Premium,yes,yes,track,51.235705,16.431686,51.24306,16.446453,22,25,20,10,7,5
500136153,,gravel,grade1,excellent,,1.5,89,Premium,yes,yes,track,51.243618,16.446981,51.237388,16.432557,22,25,20,10,7,5
500136171,,gravel,grade1,excellent,,1.08,89,Premium,yes,yes,track,51.266683,16.437797,51.26498,16.424086,22,25,20,10,7,5
802167512,,gravel,grade1,excellent,,1.23,89,Premium,yes,yes,track,51.27297,16.412411,51.279428,16.403592,22,25,20,10,7,5
802167518,,gravel,grade1,excellent,,2.02,89,Premium,yes,yes,track,51.250774,16.451702,51.266683,16.437797,22,25,20,10,7,5
815027451,,gravel,grade1,excellent,,2.02,89,Premium,yes,yes,track,51.231245,16.456467,51.24306,16.446453,22,25,20,10,7,5
1019649697,,gravel,grade1,excellent,,0.71,89,Premium,yes,yes,track,51.274161,16.393218,51.271333,16.385676,22,25,20,10,7,5
1081164587,,gravel,grade1,excellent,,1.02,89,Premium,yes,yes,track,51.265095,16.423972,51.272734,16.417408,22,25,20,10,7,5
1081164590,,gravel,grade1,excellent,,0.92,89,Premium,yes,yes,track,51.279014,16.402346,51.274161,16.393218,22,25,20,10,7,5
1238377912,,gravel,grade1,excellent,,0.19,89,Premium,yes,yes,track,51.271859,16.414104,51.27297,16.412411,22,25,20,10,7,5
508291353,Grobla Swojczycko-Kowalska,compacted,grade1,intermediate,2.0,0.99,88,Premium,yes,yes,path,51.133733,17.115375,51.128655,17.126618,20,25,15,15,8,5
508293196,Grobla Swojczycko-Kowalska,compacted,grade1,intermediate,2.0,0.84,88,Premium,yes,yes,path,51.142667,17.097546,51.136773,17.104084,20,25,15,15,8,5
589767215,Grobla Swojczycko-Kowalska,compacted,grade1,intermediate,2.0,0.61,88,Premium,yes,yes,path,51.128537,17.126826,51.124006,17.131505,20,25,15,15,8,5
1274499755,,gravel,grade2,good,3.5,0.12,88,Premium,yes,yes,track,50.970455,16.732837,50.970031,16.734437,22,23,18,10,10,5
1308338494,,fine_gravel,grade2,good,,0.38,88,Premium,yes,yes,track,51.20467,16.904128,51.201917,16.907464,25,23,18,10,7,5
82319568,Grobla Opatowicka Zachodnia,fine_gravel,grade1,intermediate,,1.11,87,Premium,yes,yes,track,51.094971,17.114274,51.085239,17.117549,25,25,15,10,7,5
103011300,,gravel,grade1,good,,0.64,87,Premium,yes,yes,track,51.302848,16.818581,51.307537,16.813396,22,25,18,10,7,5
186200200,,gravel,grade1,good,,0.8,87,Premium,yes,yes,track,51.314762,16.818721,51.321525,16.822524,22,25,18,10,7,5
186360274,,gravel,grade1,good,,1.03,87,Premium,yes,yes,track,51.323226,16.805399,51.32249,16.819755,22,25,18,10,7,5
188500514,,compacted,grade2,good,,2.65,87,Premium,no,yes,service,51.272864,16.985659,51.271299,16.947837,20,23,18,14,7,5
269444564,,fine_gravel,grade1,,3.5,0.23,87,Premium,yes,yes,track,51.078083,17.096609,51.080018,17.097754,25,25,12,10,10,5
314367886,,fine_gravel,grade1,intermediate,,1.31,87,Premium,yes,yes,track,51.076497,17.131564,51.087548,17.137743,25,25,15,10,7,5
319166726,,fine_gravel,grade1,intermediate,,0.91,87,Premium,yes,yes,track,51.166558,16.962761,51.160951,16.971266,25,25,15,10,7,5
335974490,,fine_gravel,grade1,intermediate,,0.2,87,Premium,yes,yes,track,51.154347,16.977968,51.156101,16.978367,25,25,15,10,7,5
339528238,Grobla Blizanowice-Trestno,fine_gravel,grade1,intermediate,,1.19,87,Premium,yes,yes,track,51.066245,17.15484,51.074554,17.144849,25,25,15,10,7,5
343131630,,fine_gravel,grade1,intermediate,,0.29,87,Premium,yes,yes,track,51.154347,16.977968,51.15207,16.979903,25,25,15,10,7,5
348749978,,fine_gravel,grade1,intermediate,,0.51,87,Premium,yes,yes,track,51.084284,17.118476,51.081822,17.124481,25,25,15,10,7,5
361842691,,gravel,grade1,good,,0.89,87,Premium,yes,yes,track,51.307537,16.813396,51.314762,16.818721,22,25,18,10,7,5
373809045,,fine_gravel,grade1,,3.5,0.6,87,Premium,yes,yes,track,51.055789,17.11081,51.051701,17.11539,25,25,12,10,10,5
385911732,,fine_gravel,grade1,,3.5,0.31,87,Premium,yes,yes,track,51.047414,17.117489,51.049995,17.117032,25,25,12,10,10,5
385911736,,fine_gravel,grade1,,3.5,0.21,87,Premium,yes,yes,track,51.050111,17.116904,51.051701,17.11539,25,25,12,10,10,5
398553533,Grobla Opatowicka Zachodnia,fine_gravel,grade1,intermediate,,0.13,87,Premium,yes,yes,track,51.085239,17.117549,51.084284,17.118476,25,25,15,10,7,5
475588517,,gravel,grade1,good,,2.24,87,Premium,yes,yes,track,51.316046,16.800234,51.316616,16.769312,22,25,18,10,7,5
587421097,,compacted,grade1,intermediate,,0.16,87,Premium,yes,yes,path,51.153241,17.102951,51.154165,17.104529,20,25,15,15,7,5
610479323,,gravel,grade1,good,,1.01,87,Premium,yes,yes,track,51.191129,16.998798,51.185856,17.01013,22,25,18,10,7,5
610479946,,gravel,grade1,good,,0.48,87,Premium,yes,yes,track,51.185856,17.01013,51.182535,17.014374,22,25,18,10,7,5
624142190,,fine_gravel,grade1,intermediate,,0.11,87,Premium,yes,yes,track,51.176992,17.031133,51.176206,17.032073,25,25,15,10,7,5
624142193,,compacted,grade1,intermediate,,0.55,87,Premium,yes,yes,path,51.180814,17.026147,51.176992,17.031133,20,25,15,15,7,5
624142204,,fine_gravel,grade1,intermediate,,0.11,87,Premium,yes,yes,track,51.175227,17.03924,51.174774,17.040655,25,25,15,10,7,5
871736134,Polna,compacted,grade2,good,,0.86,87,Premium,no,yes,service,51.271299,16.947837,51.279049,16.948587,20,23,18,14,7,5
931754842,Grobla Blizanowice-Trestno,fine_gravel,grade1,intermediate,,0.23,87,Premium,yes,yes,track,51.074554,17.144849,51.076487,17.143589,25,25,15,10,7,5
998158801,,gravel,grade1,good,,0.69,87,Premium,yes,yes,track,51.200939,16.975163,51.197747,16.982478,22,25,18,10,7,5
1051811034,,gravel,grade1,good,,0.3,87,Premium,yes,yes,track,51.324124,16.821974,51.321525,16.822524,22,25,18,10,7,5
1099423412,,gravel,grade1,good,,0.17,87,Premium,yes,yes,track,51.32249,16.819755,51.323222,16.821959,22,25,18,10,7,5
1099423414,,gravel,grade1,good,,0.88,87,Premium,yes,yes,track,51.323226,16.805399,51.316046,16.800234,22,25,18,10,7,5
1111759889,,fine_gravel,grade1,,3.5,0.12,87,Premium,yes,yes,track,51.050067,17.13256,51.049672,17.131034,25,25,12,10,10,5
1191933826,,compacted,grade1,intermediate,,0.26,87,Premium,yes,yes,path,51.176206,17.032073,51.176171,17.035661,20,25,15,15,7,5
1314194971,,fine_gravel,grade1,intermediate,,0.29,87,Premium,yes,yes,track,51.117949,17.193786,51.117529,17.19786,25,25,15,10,7,5
33054481,Rekreacyjna,fine_gravel,grade2,intermediate,,0.42,85,Premium,yes,yes,track,51.041709,16.982348,51.038052,16.982266,25,23,15,10,7,5
38328459,,gravel,grade2,good,,0.16,85,Premium,yes,yes,track,51.126448,17.145557,51.126776,17.143348,22,23,18,10,7,5
121496069,,gravel,grade2,good,,0.17,85,Premium,yes,yes,track,51.039982,16.914937,51.040543,16.917191,22,23,18,10,7,5
188148960,,compacted,grade1,good,,1.26,85,Premium,yes,yes,track,51.111211,17.111162,51.10248,17.12258,20,25,18,10,7,5
217467376,Dojazd pożarowy 30,gravel,grade2,good,,0.78,85,Premium,yes,yes,track,51.136179,16.824271,51.135489,16.835257,22,23,18,10,7,5
231788606,,compacted,grade1,good,,0.31,85,Premium,yes,yes,track,51.111381,17.110948,51.113367,17.10792,20,25,18,10,7,5
278787212,,gravel,grade2,good,,0.63,85,Premium,yes,yes,track,50.973552,16.740811,50.970668,16.734659,22,23,18,10,7,5
304777180,Droga Hannibala,fine_gravel,grade2,intermediate,,3.09,85,Premium,yes,yes,track,51.464209,17.220072,51.457978,17.263019,25,23,15,10,7,5
317564591,,gravel,grade2,good,,0.36,85,Premium,yes,yes,track,50.976303,16.745482,50.977996,16.749664,22,23,18,10,7,5
373854799,,fine_gravel,grade1,,3.5,0.27,85,Premium,private,yes,track,51.04311,17.142078,51.041093,17.143293,25,25,12,8,10,5
390478068,Dojazd pożarowy 30,gravel,grade2,good,,0.36,85,Premium,yes,yes,track,51.140944,16.823481,51.138327,16.822549,22,23,18,10,7,5
485689729,,compacted,grade1,good,,1.02,85,Premium,yes,yes,track,51.125118,17.151121,51.127601,17.162997,20,25,18,10,7,5
491756065,,gravel,grade2,good,,0.34,85,Premium,yes,yes,track,50.97424,16.741991,50.976303,16.745482,22,23,18,10,7,5
571718210,,gravel,grade2,good,,0.29,85,Premium,yes,yes,track,51.126776,17.143348,51.127257,17.139265,22,23,18,10,7,5
588132816,,gravel,grade2,good,,0.18,85,Premium,yes,yes,track,51.209676,16.947491,51.209468,16.945038,22,23,18,10,7,5
617840100,,gravel,grade2,good,,0.13,85,Premium,yes,yes,track,51.201452,16.973564,51.200939,16.975163,22,23,18,10,7,5
622829198,,compacted,grade1,good,,0.55,85,Premium,yes,yes,track,51.12646,17.169522,51.127836,17.162451,20,25,18,10,7,5
667319067,,fine_gravel,grade2,intermediate,,1.01,85,Premium,yes,yes,track,51.198217,17.000319,51.193107,17.011063,25,23,15,10,7,5
1002603953,,compacted,grade1,good,,0.18,85,Premium,yes,yes,track,51.126743,17.169517,51.125159,17.169564,20,25,18,10,7,5
1057819240,,gravel,grade2,good,,1.78,85,Premium,yes,yes,track,51.307031,16.860522,51.312789,16.842499,22,23,18,10,7,5
1109131003,,fine_gravel,grade1,,3.5,0.18,85,Premium,private,yes,track,51.05043,17.135017,51.050067,17.13256,25,25,12,8,10,5
1111759895,,fine_gravel,grade1,,3.5,0.29,85,Premium,private,yes,track,51.045975,17.142311,51.043376,17.142233,25,25,12,8,10,5
